epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.34375,1.1025464534759521,,
0,12,,,0.3199999928474426,1.0970213413238525
1,19,0.25,1.101069450378418,,
1,25,,,0.3499999940395355,1.0976605415344238
2,29,0.34375,1.0989972352981567,,
2,38,,,0.3199999928474426,1.0989582538604736
3,39,0.5,1.0893057584762573,,
3,49,0.375,1.0952723026275635,,
3,51,,,0.3199999928474426,1.1015102863311768
4,59,0.34375,1.0977833271026611,,
4,64,,,0.33000001311302185,1.0987064838409424
5,69,0.46875,1.0743533372879028,,
5,77,,,0.33000001311302185,1.0998077392578125
6,79,0.375,1.0799448490142822,,
6,89,0.28125,1.0961451530456543,,
6,90,,,0.33000001311302185,1.1069916486740112
7,99,0.4375,1.0539367198944092,,
7,103,,,0.33000001311302185,1.110979437828064
8,109,0.5,1.0458312034606934,,
8,116,,,0.3100000023841858,1.106196403503418
9,119,0.53125,1.0189868211746216,,
9,129,0.4375,0.9951324462890625,,
9,129,,,0.3799999952316284,1.0973503589630127
